Name,SiteID,RoundDate,Streamflow,Turbidity,Temperature
BRODRIBB @ SARDINE,222202,05,295.33,4,10.1
BRODRIBB @ SARDINE,222202,06,643.9,83,9.8
BUCHAN @ BUCHAN,222206,07,414.18,2.6,8
BUCHAN @ BUCHAN,222206,08,341.3,4.5,7.3
BUCHAN @ BUCHAN,222206,09,303.87,4,12.4
BUCHAN @ BUCHAN,222206,10,224.38,3.2,13.6
BUCHAN @ BUCHAN,222206,11,133.59,2.7,20.6
BUCHAN @ BUCHAN,222206,12,206.8,3,20.1
BUCHAN @ BUCHAN,222206,01,93.27,3.6,23.5
BUCHAN @ BUCHAN,222206,02,112.52,62,18
BUCHAN @ BUCHAN,222206,03,114.51,2.8,22.8
BUCHAN @ BUCHAN,222206,04,302.53,4.6,17.6
BUCHAN @ BUCHAN,222206,05,200.86,2.2,10
BUCHAN @ BUCHAN,222206,06,529.88,34,8
SNOWY @ MCKILLOPS BR,222209,07,2409.55,5.6,8
SNOWY @ MCKILLOPS BR,222209,08,2047.49,5.2,10.1
SNOWY @ MCKILLOPS BR,222209,09,2041.23,3.7,13.1
SNOWY @ MCKILLOPS BR,222209,10,2166.03,8.4,17
SNOWY @ MCKILLOPS BR,222209,11,1314.12,2.3,24.9
SNOWY @ MCKILLOPS BR,222209,12,1000.53,2.9,22
SNOWY @ MCKILLOPS BR,222209,01,859.53,19,25.5
SNOWY @ MCKILLOPS BR,222209,02,745.53,2.8,24
SNOWY @ MCKILLOPS BR,222209,03,563.62,3.3,23.3
SNOWY @ MCKILLOPS BR,222209,04,1473.54,2.3,17.7
SNOWY @ MCKILLOPS BR,222209,05,1387.02,3.8,12.3
SNOWY @ MCKILLOPS BR,222209,06,1665.71,159,8.6
RODGER @ JACKSONS,222217,07,669.21,4.1,8.6
RODGER @ JACKSONS,222217,08,204.92,3.8,8.6
RODGER @ JACKSONS,222217,09,163.02,3,10.8
RODGER @ JACKSONS,222217,10,146.47,4.7,10.3
RODGER @ JACKSONS,222217,11,98.5,4.2,18.4
RODGER @ JACKSONS,222217,12,67.03,4.3,18.4
RODGER @ JACKSONS,222217,01,64.37,3.8,22
RODGER @ JACKSONS,222217,02,68.61,7.4,20.6
RODGER @ JACKSONS,222217,03,59.88,3.2,21.8
RODGER @ JACKSONS,222217,04,200.47,2.7,14.9
RODGER @ JACKSONS,222217,05,119.32,2.6,10.1
RODGER @ JACKSONS,222217,06,383.5,35,9.4
SNOWY @ BASIN CRK,222219,08,2280.96,5.3,8.6
SNOWY @ BASIN CRK,222219,11,1385.11,1.9,21.9
SNOWY @ BASIN CRK,222219,02,829.24,21.7,21.9
SNOWY @ BASIN CRK,222219,05,1520.66,3.5,11.7
TAMBO @ SWIFTS CREEK,223202,07,184.16,1.8,6.8
TAMBO @ SWIFTS CREEK,223202,08,183.85,4,5.6
TAMBO @ SWIFTS CREEK,223202,09,151.78,3.4,12.4
TAMBO @ SWIFTS CREEK,223202,10,104.83,3.1,14.3
TAMBO @ SWIFTS CREEK,223202,11,61.79,1.9,19.6
TAMBO @ SWIFTS CREEK,223202,12,60.1,4.4,19.9
TAMBO @ SWIFTS CREEK,223202,01,34.4,3.8,22.4
TAMBO @ SWIFTS CREEK,223202,02,21.73,411,20.7
TAMBO @ SWIFTS CREEK,223202,03,24.05,1.6,24.8
TAMBO @ SWIFTS CREEK,223202,04,51.72,1.9,15.1
TAMBO @ SWIFTS CREEK,223202,05,46.28,1.4,14.1
TAMBO @ SWIFTS CREEK,223202,06,139.71,122,8
NICHOLSON @ DEPTFORD,223204,07,124.02,2.4,7.3
NICHOLSON @ DEPTFORD,223204,08,55.25,3,6.5
NICHOLSON @ DEPTFORD,223204,09,44.79,3.3,12.6
NICHOLSON @ DEPTFORD,223204,10,27.79,2,15.3
NICHOLSON @ DEPTFORD,223204,11,22.11,3.2,18.6
NICHOLSON @ DEPTFORD,223204,12,18.81,1.2,24
NICHOLSON @ DEPTFORD,223204,01,22.29,2.3,22.5
NICHOLSON @ DEPTFORD,223204,02,175.23,11.6,19
NICHOLSON @ DEPTFORD,223204,03,78.61,1.1,18.2
NICHOLSON @ DEPTFORD,223204,04,131.01,3.9,13.6
NICHOLSON @ DEPTFORD,223204,05,60.23,2.1,10.9
NICHOLSON @ DEPTFORD,223204,06,152.74,23.9,8.8
TAMBO @ BATTENS,223209,07,773.88,7.8,9.1
TAMBO @ BATTENS,223209,08,0,5.8,10.7
TAMBO @ BATTENS,223209,09,0,7.8,17.1
TAMBO @ BATTENS,223209,10,0,6.7,17.2
TAMBO @ BATTENS,223209,11,0,5.9,21.7
TAMBO @ BATTENS,223209,12,0,13.9,23.5
TAMBO @ BATTENS,223209,01,0,19,24.5
TAMBO @ BATTENS,223209,02,0,18.6,17.9
TAMBO @ BATTENS,223209,03,0,6.9,22.4
TAMBO @ BATTENS,223209,04,0,13.9,15.5
TAMBO @ BATTENS,223209,05,0,6.8,12
TAMBO @ BATTENS,223209,06,0,65,10.2
TAMBO @ U/S SMITH CK,223214,07,4.75,4.3,4.8
TAMBO @ U/S SMITH CK,223214,08,4.53,7.7,2
TAMBO @ U/S SMITH CK,223214,09,4.33,6.5,7.1
TAMBO @ U/S SMITH CK,223214,10,3.22,16.1,8.9
TAMBO @ U/S SMITH CK,223214,11,1.84,2.7,11.2
TAMBO @ U/S SMITH CK,223214,12,3.06,4.5,13.9
TAMBO @ U/S SMITH CK,223214,01,0.21,6,15.2
TAMBO @ U/S SMITH CK,223214,02,0.1,2.7,14.7
TAMBO @ U/S SMITH CK,223214,03,0.13,10.5,14.6
TAMBO @ U/S SMITH CK,223214,04,0.15,2,8.2
TAMBO @ U/S SMITH CK,223214,05,0.26,1.2,7.8
TAMBO @ U/S SMITH CK,223214,06,1.54,14,4.3
Nicholson R @ GR,223218,07,131.87,2.4,7
Nicholson R @ GR,223218,08,57.02,4,5.9
Nicholson R @ GR,223218,09,49.88,2.7,14.3
Nicholson R @ GR,223218,10,35.12,3,17
Nicholson R @ GR,223218,11,28.63,2.6,19
Nicholson R @ GR,223218,12,24.49,2,21.3
Nicholson R @ GR,223218,01,25.32,2.7,23.9
Nicholson R @ GR,223218,02,238.71,16.5,19
Nicholson R @ GR,223218,03,49.81,4.3,17.7
Nicholson R @ GR,223218,04,184.91,9.5,15.3
Nicholson R @ GR,223218,05,67.97,5.3,11.5
Nicholson R @ GR,223218,06,186.76,39,9.5
MITCHELL GLENALADALE,224203,07,2369.65,2.3,9.8
MITCHELL GLENALADALE,224203,08,1679.57,3.1,7.1
MITCHELL GLENALADALE,224203,09,2090.7,5.6,11.1
MITCHELL GLENALADALE,224203,10,1440.35,2.5,15
MITCHELL GLENALADALE,224203,11,1092.79,2.8,19.9
MITCHELL GLENALADALE,224203,12,2135.8,12.2,21.1
MITCHELL GLENALADALE,224203,01,459.43,3.6,22.3
MITCHELL GLENALADALE,224203,02,1414.42,5,24.4
MITCHELL GLENALADALE,224203,03,386.19,4.2,21.9
MITCHELL GLENALADALE,224203,04,977.95,18.9,16.3
MITCHELL GLENALADALE,224203,05,405.2,2,17.2
MITCHELL GLENALADALE,224203,06,1623.2,2.4,9.6
WONNANGATTA @CROOKED,224206,07,925.08,6.4,8.5
WONNANGATTA @CROOKED,224206,08,538.42,2.6,11.5
WONNANGATTA @CROOKED,224206,09,736.11,2.2,13.7
WONNANGATTA @CROOKED,224206,10,457.73,3,17
WONNANGATTA @CROOKED,224206,11,442.35,5.2,17.4
WONNANGATTA @CROOKED,224206,12,932.89,3.3,23.6
WONNANGATTA @CROOKED,224206,01,166.08,2.4,24
WONNANGATTA @CROOKED,224206,02,0,2.5,18.6
WONNANGATTA @CROOKED,224206,03,0,4.1,15.9
WONNANGATTA @CROOKED,224206,04,374.13,2.5,16.5
WONNANGATTA @CROOKED,224206,05,140.84,1.9,8.1
WONNANGATTA @CROOKED,224206,06,579.65,2.5,6.1
DARGO @ L DARGO RD,224213,07,572.45,8.9,7.9
DARGO @ L DARGO RD,224213,08,526.54,88,11.3
DARGO @ L DARGO RD,224213,09,649.43,3,12.8
DARGO @ L DARGO RD,224213,10,459.77,4.1,15
DARGO @ L DARGO RD,224213,11,389.47,3.8,19.1
DARGO @ L DARGO RD,224213,12,594.47,2.3,22.2
DARGO @ L DARGO RD,224213,01,124.08,1,26
DARGO @ L DARGO RD,224213,02,97.89,2.5,20.4
DARGO @ L DARGO RD,224213,03,76.65,2,18.8
DARGO @ L DARGO RD,224213,04,117.26,1.4,18.2
DARGO @ L DARGO RD,224213,05,93.69,0.8,10
DARGO @ L DARGO RD,224213,06,444.13,1.8,4.3
MITCHELL @ ROSEHILL,224217,07,2452.07,4.2,7.8
MITCHELL @ ROSEHILL,224217,08,1757.76,2.8,9.5
MITCHELL @ ROSEHILL,224217,09,2174.31,5.5,13.9
MITCHELL @ ROSEHILL,224217,10,1515.17,4.5,14.9
MITCHELL @ ROSEHILL,224217,11,1061.53,5.9,19.4
MITCHELL @ ROSEHILL,224217,12,2164.37,16.3,20.6
MITCHELL @ ROSEHILL,224217,01,426.88,6.9,25.1
MITCHELL @ ROSEHILL,224217,02,1617.2,867,19.3
MITCHELL @ ROSEHILL,224217,03,413.63,7.4,23
MITCHELL @ ROSEHILL,224217,04,1135.17,8.2,16.9
MITCHELL @ ROSEHILL,224217,05,437.33,5.1,15
MITCHELL @ ROSEHILL,224217,06,1669.3,44,10
AVON @ STRATFORD,225201,07,412.24,4.7,9.6
AVON @ STRATFORD,225201,08,160.2,5.5,9.3
AVON @ STRATFORD,225201,09,116.92,63,15.3
AVON @ STRATFORD,225201,10,73.41,5.7,18.5
AVON @ STRATFORD,225201,11,28.13,4.6,21
AVON @ STRATFORD,225201,12,25.94,8.4,24.3
AVON @ STRATFORD,225201,01,17.49,5.9,24.2
AVON @ STRATFORD,225201,02,1152.07,4.8,27.6
AVON @ STRATFORD,225201,03,136.99,6.4,21.8
AVON @ STRATFORD,225201,04,598.73,22,15.1
AVON @ STRATFORD,225201,05,202.17,4.9,15.7
AVON @ STRATFORD,225201,06,205.52,5.1,9.1
ABERFELDY @BEARDMORE,225213,07,198.19,17.8,8.4
ABERFELDY @BEARDMORE,225213,08,123.96,2.8,9.2
ABERFELDY @BEARDMORE,225213,09,113.9,2.6,11.1
ABERFELDY @BEARDMORE,225213,10,86.71,2.2,15.4
ABERFELDY @BEARDMORE,225213,11,50.3,3.3,18.9
ABERFELDY @BEARDMORE,225213,12,56.29,1.8,20.2
ABERFELDY @BEARDMORE,225213,01,19.43,3,24.5
ABERFELDY @BEARDMORE,225213,02,79.31,1.7,18.1
ABERFELDY @BEARDMORE,225213,03,55.37,2.7,17.9
ABERFELDY @BEARDMORE,225213,04,99.29,0.9,16.2
ABERFELDY @BEARDMORE,225213,05,38.01,1.7,7.1
ABERFELDY @BEARDMORE,225213,06,56.28,1.6,6.3
